CustomerID,Recency,Frequency,Monetary,Tenure,AOV,Cluster
12483,17,8,1910.98,323,238.8725,3
12484,35,4,3953.72,302,988.43,3
12488,10,3,1244.66,66,414.8866666666667,2
12489,336,1,298.93,1,298.93,0
12490,5,10,4859.93,325,485.99300000000005,3
12491,39,1,424.40000000000003,1,424.40000000000003,0
12492,63,2,227.21,43,113.605,1
12493,166,2,415.74,32,207.87,2
12494,16,7,1084.1000000000001,350,154.8714285714286,2
12497,82,1,953.1,1,953.1,0
12498,21,3,349.70000000000005,37,116.56666666666668,2
12500,23,11,4059.82,311,369.07454545454544,3
12501,337,1,2025.39,1,2025.39,0
12502,96,5,2995.87,215,599.174,2
12504,18,2,428.04999999999995,13,214.02499999999998,2
12506,233,1,73.5,1,73.5,1
12507,134,3,1052.81,165,350.93666666666667,2
12508,26,2,398.27,3,199.135,1
12509,284,1,158.5,1,158.5,1
12510,143,2,814.5699999999999,183,407.28499999999997,2
12512,66,2,138.03,1,69.015,1
12513,113,1,558.29,1,558.29,0
12514,267,1,1017.68,1,1017.68,0
12515,353,1,278.7,1,278.7,0
12516,78,2,1186.06,103,593.03,2
12517,28,4,2322.84,162,580.71,3
12518,1,5,1840.89,110,368.178,3
12519,64,1,286.84,1,286.84,0
12520,79,5,2346.2599999999998,195,469.25199999999995,2
12521,143,1,545.68,1,545.68,0
12522,39,2,156.72,13,78.36,1
12523,19,11,1699.77,313,154.52454545454546,3
12524,9,8,3945.72,325,493.215,3
12526,1,3,1172.66,94,390.8866666666667,3
12527,82,3,330.71000000000004,244,110.23666666666668,2
12528,9,6,1645.48,304,274.24666666666667,3
12530,60,4,1500.28,278,375.07,2
12531,15,1,125.22,1,125.22,1
12532,30,1,313.83000000000004,1,313.83000000000004,0
12534,131,1,981.18,1,981.18,0
12535,92,2,716.35,95,358.175,2
12536,59,1,4279.71,1,4279.71,0
12538,29,1,363.95,1,363.95,0
12539,22,4,5568.35,312,1392.0875,3
12540,20,17,11580.24,343,681.1905882352941,3
12541,30,3,841.18,252,280.3933333333333,2
12544,36,1,316.7,1,316.7,0
12545,75,2,832.39,185,416.195,2
12546,47,2,1021.5,32,510.75,2
12547,198,2,151.79999999999998,83,75.89999999999999,1
12548,166,1,67.19999999999999,1,67.19999999999999,1
12550,79,1,824.83,1,824.83,0
12551,358,1,168.0,1,168.0,1
12552,40,1,317.82,1,317.82,0
12553,8,10,3278.28,322,327.82800000000003,3
12556,50,2,603.71,101,301.855,2
12557,16,5,11990.960000000001,356,2398.192,3
12558,8,1,269.96,1,269.96,0
12559,311,2,525.71,9,262.855,0
12560,5,2,1918.01,138,959.005,3
12561,303,1,238.85,1,238.85,1
12562,8,7,3385.7400000000002,191,483.6771428571429,3
12564,261,1,402.9,1,402.9,0
12565,289,1,145.92,1,145.92,1
12566,86,1,297.65,1,297.65,0
12567,23,10,8609.28,347,860.9280000000001,3
12569,2,32,3152.69,251,98.5215625,3
12571,40,2,519.61,82,259.805,2
12572,9,2,912.42,44,456.21,2
12573,227,1,160.54000000000002,1,160.54000000000002,1
12574,316,1,182.45000000000002,1,182.45000000000002,1
12576,36,5,1315.83,269,263.166,2
12577,35,3,653.85,324,217.95000000000002,2
12578,21,2,2402.51,309,1201.255,3
12579,78,1,386.42,1,386.42,0
12580,247,1,379.7,1,379.7,0
12581,40,1,179.71,1,179.71,1
12582,239,2,351.36,50,175.68,2
12583,3,15,6705.38,371,447.0253333333333,3
12584,4,9,2254.15,277,250.4611111111111,3
12585,234,2,1824.1,118,912.05,2
12586,17,1,196.94000000000003,1,196.94000000000003,1
12587,8,1,104.0,1,104.0,1
12588,39,1,174.89999999999998,1,174.89999999999998,1
12589,29,2,574.68,116,287.34,2
12590,211,1,9341.26,1,9341.26,0
12591,317,1,368.85,1,368.85,0
12592,92,2,401.6,122,200.8,2
12593,109,3,382.09999999999997,111,127.36666666666666,2
12594,38,9,3208.2200000000003,286,356.4688888888889,3
12596,51,2,450.27,191,225.135,2
12597,19,4,3195.22,249,798.805,3
12598,10,7,2807.08,276,401.01142857142855,3
12599,29,7,888.58,276,126.94000000000001,2
12600,29,10,2311.04,343,231.10399999999998,3
12601,190,5,487.06,143,97.412,2
12602,59,1,153.12,1,153.12,1
12603,22,1,613.1999999999999,1,613.1999999999999,0
12604,79,2,236.18,183,118.09,2
12607,60,1,1579.51,1,1579.51,0
12609,78,3,964.85,241,321.6166666666667,2
12610,23,4,1747.54,104,436.885,2
12611,52,1,1193.32,1,1193.32,0
12612,74,1,668.0400000000001,1,668.0400000000001,0
12613,57,4,3092.38,205,773.095,3
12614,278,1,315.6,1,315.6,0
12615,2,4,2093.19,167,523.2975,3
12616,95,2,641.3,203,320.65,2
12617,29,1,355.53,1,355.53,0
12618,22,1,137.31,1,137.31,1
12619,16,8,2945.56,238,368.195,3
12620,15,3,1303.41,190,434.47,2
12621,2,20,12411.67,365,620.5835,3
12622,232,1,162.1,1,162.1,1
12623,276,1,269.1,1,269.1,0
12624,106,2,569.13,72,284.565,2
12625,212,2,2413.82,108,1206.91,2
12626,23,9,5954.48,304,661.6088888888888,3
12627,11,6,4082.53,130,680.4216666666667,3
12628,4,3,732.46,61,244.15333333333334,2
12630,10,2,1030.88,35,515.44,2
12631,57,1,480.5,1,480.5,0
12633,59,4,1929.98,230,482.495,2
12635,90,2,1509.18,66,754.59,2
12637,67,8,5823.9,257,727.9875,3
12638,33,1,511.69,1,511.69,0
12639,239,1,366.1,1,366.1,0
12640,24,3,994.58,58,331.5266666666667,2
12641,115,1,145.9,1,145.9,1
12642,25,3,905.26,83,301.75333333333333,2
12643,128,6,3041.64,205,506.94,2
12644,130,1,477.91,1,477.91,0
12645,34,4,1631.18,283,407.795,2
12646,5,2,1346.97,45,673.485,2
12647,22,12,3146.82,347,262.235,3
12648,155,1,300.05,1,300.05,0
12649,107,3,569.51,106,189.83666666666667,2
12650,3,1,242.44000000000003,1,242.44000000000003,0
12651,335,1,114.0,1,114.0,1
12652,331,1,793.98,1,793.98,0
12653,149,2,2209.85,148,1104.925,2
12654,11,5,529.98,285,105.99600000000001,2
12656,17,5,3619.17,217,723.8340000000001,3
12657,11,4,1427.18,68,356.795,2
12658,19,1,632.05,1,632.05,0
12659,30,1,73.68,1,73.68,1
12660,11,1,227.1,1,227.1,1
12662,1,11,3543.78,373,322.1618181818182,3
12664,8,9,4391.88,315,487.9866666666667,3
12665,325,1,45.0,1,45.0,1
12667,58,1,460.13,1,460.13,0
12668,12,4,3177.15,344,794.2875,3
12669,151,2,1427.73,106,713.865,2
12670,10,5,2744.05,223,548.8100000000001,3
12672,330,1,225.89999999999998,1,225.89999999999998,1
12673,5,2,574.52,322,287.26,2
12674,39,4,1844.6,170,461.15,2
12676,25,6,1091.39,287,181.89833333333334,2
12678,42,10,16481.46,312,1648.146,3
12679,59,4,951.02,226,237.755,2
12680,1,4,790.81,113,197.7025,3
12681,15,22,12365.54,354,562.07,3
12682,4,31,11028.22,368,355.7490322580645,3
12683,4,14,7612.57,362,543.755,3
12684,8,6,2073.63,206,345.605,3
12685,28,6,2575.08,66,429.18,3
12686,372,1,71.14,1,71.14,1
12688,114,1,4873.8099999999995,1,4873.8099999999995,0
12689,26,2,1139.61,102,569.805,2
12690,206,1,335.01,1,335.01,0
12691,28,5,927.8,330,185.56,2
12693,127,4,711.91,193,177.9775,2
12694,70,2,761.67,113,380.835,2
12695,7,4,582.1,204,145.525,2
12697,29,3,757.59,141,252.53,2
12700,8,4,4525.99,208,1131.4975,3
12701,80,2,725.71,163,362.855,2
12702,20,1,201.0,1,201.0,1
12703,71,1,265.55,1,265.55,0
12704,7,8,1740.84,163,217.605,3
12705,15,8,6382.29,342,797.78625,3
12707,292,1,603.42,1,603.42,0
12708,30,10,2442.91,339,244.291,3
12709,15,15,9430.52,352,628.7013333333333,3
12710,97,3,1023.02,105,341.00666666666666,2
12712,29,13,3928.13,343,302.1638461538462,3
12713,1,1,794.55,1,794.55,0
12714,9,5,4294.86,286,858.972,3
12715,106,1,273.86,1,273.86,0
12716,4,2,963.49,130,481.745,2
12717,151,2,830.98,95,415.49,2
12718,71,1,202.25,1,202.25,1
12719,5,2,572.95,60,286.475,2
12720,3,25,5115.7300000000005,367,204.62920000000003,3
12721,32,6,2386.13,324,397.68833333333333,3
12722,85,4,979.63,66,244.9075,2
12723,4,5,707.07,62,141.41400000000002,2
12724,5,4,923.41,328,230.8525,2
12725,371,1,371.8,1,371.8,0
12726,28,7,2411.1,330,344.4428571428571,3
12727,11,7,3440.7,310,491.5285714285714,3
12728,71,4,728.33,262,182.0825,2
12729,114,1,417.01,1,417.01,0
12731,24,12,18751.91,342,1562.6591666666666,3
12732,180,1,218.26000000000002,1,218.26000000000002,1
12733,234,1,383.95,1,383.95,0
12734,353,1,110.39999999999999,1,110.39999999999999,1
12735,315,2,689.5699999999999,22,344.78499999999997,0
12736,333,1,144.0,1,144.0,1
12738,372,1,137.35,1,137.35,1
12739,99,1,975.54,1,975.54,0
12740,64,1,427.6,1,427.6,0
12743,134,2,546.43,1,273.215,0
12744,56,4,9120.39,263,2280.0975,3
12747,2,11,4196.01,367,381.4554545454546,3
12748,1,206,32317.32,373,156.8801941747573,3
12749,4,5,4090.88,210,818.176,3
12750,129,1,275.88,1,275.88,0
12752,81,1,4366.78,1,4366.78,0
12753,23,6,21429.39,340,3571.565,3
12754,236,3,3010.74,73,1003.5799999999999,2
12755,281,2,3811.95,86,1905.975,0
12756,87,1,112.07999999999998,1,112.07999999999998,1
12757,16,9,4199.2,196,466.5777777777778,3
12758,117,2,2791.59,160,1395.795,2
12759,52,3,1411.44,224,470.48,2
12762,8,2,1702.52,18,851.26,2
12763,138,2,494.08,231,247.04,2
12764,317,1,1693.88,1,1693.88,0
12766,4,7,6457.63,363,922.5185714285715,3
12769,239,1,1143.6,1,1143.6,0
12770,211,1,1351.45,1,1351.45,0
12772,60,1,752.47,1,752.47,0
12775,17,5,1281.04,295,256.20799999999997,2
12778,20,6,693.23,293,115.53833333333334,2
12779,38,8,3981.36,334,497.67,3
12781,64,2,786.74,222,393.37,2
12782,5,5,1938.92,353,387.784,3
12783,2,4,1295.87,74,323.9675,3
12784,15,1,518.42,1,518.42,0
12785,364,1,255.95,1,255.95,0
12787,10,3,418.66,183,139.55333333333334,2
12789,65,1,76.85,1,76.85,1
12790,192,1,294.92,1,294.92,0
12791,374,1,177.60000000000002,1,177.60000000000002,1
12792,257,1,344.53999999999996,1,344.53999999999996,0
12793,335,2,461.48,37,230.74,2
12794,53,2,860.41,46,430.205,2
12795,19,1,318.48,1,318.48,0
12797,366,1,226.03,1,226.03,1
12798,10,3,6977.04,161,2325.68,3
12802,187,1,397.58,1,397.58,0
12808,37,3,455.65000000000003,332,151.88333333333335,2
12809,178,1,405.31,1,405.31,0
12811,262,2,458.85,23,229.425,2
12812,45,1,229.64000000000001,1,229.64000000000001,1
12814,102,1,85.92,1,85.92,1
12815,148,2,863.46,51,431.73,2
12816,96,2,452.20000000000005,81,226.10000000000002,2
12817,281,1,126.03999999999999,1,126.03999999999999,1
12818,262,1,1182.0800000000002,1,1182.0800000000002,0
12820,3,4,942.34,324,235.585,3
12821,214,1,92.72,1,92.72,1
12822,71,2,948.88,17,474.44,0
12823,75,5,1759.5,222,351.9,2
12824,60,1,397.12,1,397.12,0
12826,3,7,1474.72,363,210.67428571428573,3
12827,6,3,430.15000000000003,39,143.38333333333335,2
12828,3,6,1018.71,128,169.785,3
12829,337,2,293.0,24,146.5,1
12830,38,6,6814.64,135,1135.7733333333333,3
12831,262,1,215.05,1,215.05,1
12832,32,2,383.03,66,191.515,2
12833,145,1,417.38,1,417.38,0
12834,283,1,312.38,1,312.38,0
12836,59,4,2612.86,253,653.215,2
12837,173,1,134.1,1,134.1,1
12838,34,2,683.13,341,341.565,2
12839,3,14,5591.42,365,399.38714285714286,3
12840,144,4,2726.77,83,681.6925,2
12841,5,25,4022.35,368,160.894,3
12842,70,2,1118.99,239,559.495,2
12843,66,8,1702.26,199,212.7825,2
12844,29,2,325.96000000000004,102,162.98000000000002,2
12845,267,4,354.09,23,88.5225,1
12847,22,1,871.54,1,871.54,0
12849,31,2,1033.25,238,516.625,2
12851,97,1,135.18,1,135.18,1
12852,295,1,311.55,1,311.55,0
12853,135,6,1957.1000000000001,182,326.18333333333334,2
12854,79,3,1324.5,240,441.5,2
12855,373,1,38.1,1,38.1,1
12856,8,6,2179.93,56,363.32166666666666,3
12857,211,2,1106.4,92,553.2,2
12863,52,1,521.2,1,521.2,0
12864,138,1,147.12,1,147.12,1
12865,26,2,1568.23,98,784.115,2
12866,283,1,499.12,1,499.12,0
12867,26,7,4036.82,334,576.6885714285714,3
12868,186,6,1607.0600000000002,188,267.84333333333336,2
12871,84,2,380.64,124,190.32,2
12872,327,2,599.97,39,299.985,2
12873,282,1,374.0,1,374.0,0
12875,143,2,343.2300000000001,220,171.61500000000004,2
12876,58,2,2053.02,139,1026.51,2
12877,4,12,1535.77,355,127.98083333333334,3
12878,236,2,854.99,30,427.495,0
12879,45,3,573.22,48,191.07333333333335,2
12881,276,1,298.0,1,298.0,0
12882,9,2,1463.04,25,731.52,2
12883,25,4,703.47,65,175.8675,2
12884,88,1,309.05,1,309.05,0
12885,63,3,1175.22,61,391.74,2
12886,68,2,1378.4,152,689.2,2
12888,214,2,354.12,42,177.06,2
12890,24,1,380.46999999999997,1,380.46999999999997,0
12891,186,3,331.0,108,110.33333333333333,2
12893,31,1,188.14,1,188.14,1
12895,42,2,372.8,45,186.4,2
12897,205,2,216.5,98,108.25,1
12901,9,28,17654.54,262,630.5192857142857,3
12902,265,1,138.68,1,138.68,1
12904,18,2,509.58,155,254.79,2
12906,12,5,2919.81,67,583.962,3
12908,176,2,750.0,137,375.0,2
12909,40,5,2178.67,214,435.73400000000004,2
12910,23,8,3075.04,219,384.38,3
12912,3,5,1662.3,38,332.46,3
12913,5,5,2483.63,364,496.726,3
12915,149,2,363.65,224,181.825,2
12916,139,4,3006.15,182,751.5375,2
12917,128,1,594.0,1,594.0,0
12919,8,6,1335.19,162,222.53166666666667,3
12920,17,1,164.23,1,164.23,1
12921,9,37,16587.09,365,448.29972972972973,3
12922,161,1,405.38,1,405.38,0
12923,64,1,175.72,1,175.72,1
12924,88,4,925.75,240,231.4375,2
12925,5,2,694.05,71,347.025,2
12928,35,5,2062.7000000000003,324,412.5400000000001,3
12929,312,1,117.85,1,117.85,1
12930,78,2,415.8,94,207.9,2
12931,22,15,42055.96,337,2803.730666666667,3
12933,24,3,607.53,260,202.51,2
12935,2,7,2160.7,318,308.6714285714285,3
12936,17,4,1063.9,62,265.975,2
12937,15,4,1504.27,253,376.0675,2
12938,26,1,114.14,1,114.14,1
12939,64,8,11581.8,271,1447.725,3
12940,55,2,913.54,34,456.77,2
12942,131,3,683.9,235,227.96666666666667,2
12944,36,2,604.51,320,302.255,2
12945,288,1,462.95,1,462.95,0
12947,144,6,1603.99,230,267.33166666666665,2
12948,16,7,2064.95,249,294.99285714285713,3
12949,31,8,4167.22,222,520.9025,3
12950,2,3,1843.0,22,614.3333333333334,3
12951,9,6,1064.07,323,177.345,2
12952,6,4,1387.79,73,346.9475,3
12953,10,1,329.85,1,329.85,0
12955,1,11,4757.16,267,432.4690909090909,3
12956,306,1,108.07,1,108.07,1
12957,10,8,4017.54,330,502.1925,3
12962,7,2,266.39,107,133.195,2
12963,8,8,1856.63,358,232.07875,3
12965,89,1,771.91,1,771.91,0
12966,10,1,160.18,1,160.18,1
12967,358,2,1660.9,14,830.45,0
12968,112,1,135.95,1,135.95,1
12970,7,4,452.24,316,113.06,2
12971,4,86,11189.91,369,130.11523255813952,3
12974,198,1,144.8,1,144.8,1
12976,212,1,738.6,1,738.6,0
12977,156,1,39.239999999999995,1,39.239999999999995,1
12980,158,9,7374.900000000001,201,819.4333333333334,3
12981,30,2,372.21999999999997,104,186.10999999999999,2
12982,243,1,390.54,1,390.54,0
12984,19,1,97.5,1,97.5,1
12985,1,2,1239.38,28,619.69,3
12987,74,2,558.7,125,279.35,2
12988,292,1,535.32,1,535.32,0
12989,3,15,6924.110000000001,362,461.6073333333334,3
12990,31,3,409.5,279,136.5,2
12991,23,2,503.76,90,251.88,2
12993,23,4,414.76,276,103.69,2
12994,4,3,974.4200000000001,265,324.8066666666667,2
12995,85,1,211.32,1,211.32,1
12997,22,4,1226.89,295,306.7225,2
12999,196,3,455.88,50,151.96,2
13000,107,3,534.85,259,178.28333333333333,2
13001,4,13,9818.82,323,755.2938461538462,3
13002,318,1,120.94999999999999,1,120.94999999999999,1
13003,106,3,149.05,110,49.68333333333334,1
13004,12,18,5655.91,347,314.21722222222223,3
13005,174,2,513.7,73,256.85,2
13006,56,1,81.57,1,81.57,1
13008,323,1,229.46999999999997,1,229.46999999999997,1
13011,372,1,50.550000000000004,1,50.550000000000004,1
13012,9,8,1661.8400000000001,286,207.73000000000002,3
13013,1,13,4810.9400000000005,371,370.07230769230773,3
13014,11,10,3466.2799999999997,271,346.628,3
13015,53,5,3346.28,196,669.2560000000001,3
13016,73,3,789.89,50,263.2966666666667,2
13017,7,1,204.0,1,204.0,1
13018,16,28,7277.7,280,259.91785714285714,3
13021,4,9,2616.38,355,290.7088888888889,3
13023,64,2,599.9,66,299.95,2
13026,1,5,975.36,275,195.072,3
13027,114,6,6912.0,241,1152.0,3
13028,23,2,661.3199999999999,23,330.65999999999997,2
13029,31,3,1247.5,323,415.8333333333333,2
13030,11,2,799.48,357,399.74,2
13032,52,2,1010.18,35,505.09,2
13033,357,1,190.55,1,190.55,1
13034,55,2,642.77,315,321.385,2
13035,74,2,921.88,187,460.94,2
13037,138,3,881.07,119,293.69,2
13038,80,3,908.46,211,302.82,2
13040,9,2,676.99,25,338.495,2
13043,273,1,516.42,1,516.42,0
13044,291,1,560.47,1,560.47,0
13045,99,1,305.28000000000003,1,305.28000000000003,0
13046,31,2,629.31,236,314.655,2
13047,57,9,3232.59,318,359.1766666666667,3
13048,14,4,1835.91,313,458.9775,3
13049,64,2,656.6800000000001,254,328.34000000000003,2
13050,15,17,5833.11,352,343.1241176470588,3
13052,212,1,348.15000000000003,1,348.15000000000003,0
13055,78,3,1214.41,136,404.80333333333334,2
13058,25,3,271.40000000000003,128,90.46666666666668,2
13059,250,1,183.4,1,183.4,1
13060,254,1,307.53,1,307.53,0
13061,72,1,248.61,1,248.61,0
13062,191,1,346.98,1,346.98,0
13064,13,4,1119.49,315,279.8725,2
13065,373,1,205.86,1,205.86,1
13066,24,2,470.8,8,235.4,2
13067,82,1,115.46000000000001,1,115.46000000000001,1
13068,10,2,344.0,310,172.0,2
13069,1,24,4436.12,369,184.83833333333334,3
13070,192,1,228.8,1,228.8,1
13072,267,1,177.15,1,177.15,1
13075,130,1,919.61,1,919.61,0
13077,1,4,729.27,366,182.3175,3
13078,3,26,12627.94,364,485.69,3
13079,4,5,220.10000000000002,137,44.02,2
13080,179,1,58.08,1,58.08,1
13081,12,11,28337.38,360,2576.1254545454544,3
13082,126,9,3613.63,213,401.51444444444445,3
13083,4,2,303.75,72,151.875,2
13085,158,2,416.08000000000004,138,208.04000000000002,2
13089,3,97,58825.83,367,606.4518556701031,3
13090,9,13,8895.82,365,684.2938461538462,3
13091,28,1,345.82,1,345.82,0
13092,71,5,477.83,289,95.566,2
13093,276,8,7832.47,98,979.05875,3
13094,21,12,1927.3200000000002,348,160.61,3
13095,71,1,74.39999999999999,1,74.39999999999999,1
13097,33,10,6010.42,328,601.042,3
13098,1,28,28882.44,317,1031.5157142857142,3
13099,99,1,207.35999999999999,1,207.35999999999999,1
13101,234,1,101.19,1,101.19,1
13102,1,24,6424.09,364,267.67041666666665,3
13103,40,1,243.94,1,243.94,1
13104,3,6,1098.48,352,183.08,3
13106,133,1,76.5,1,76.5,1
13107,44,4,1531.6200000000001,290,382.90500000000003,2
13108,373,1,350.06,1,350.06,0
13109,60,2,786.54,98,393.27,2
13110,31,7,1488.67,280,212.66714285714286,2
13113,1,24,12245.960000000001,366,510.2483333333334,3
13115,12,4,2294.78,173,573.695,3
13116,138,1,501.14,1,501.14,0
13117,22,8,984.91,351,123.11375,2
13118,20,5,1197.81,270,239.56199999999998,2
13120,239,1,30.599999999999998,1,30.599999999999998,1
13121,269,1,283.73,1,283.73,0
13122,94,2,922.39,147,461.195,2
13124,90,3,3866.33,270,1288.7766666666666,3
13126,5,8,2099.64,362,262.455,3
13127,78,1,259.17,1,259.17,0
13130,94,1,64.0,1,64.0,1
13131,23,3,1073.3,165,357.76666666666665,2
13132,262,1,77.3,1,77.3,1
13133,274,2,109.8,31,54.9,1
13134,86,4,1793.58,155,448.395,2
13135,197,1,3096.0,1,3096.0,0
13136,56,5,2607.61,157,521.522,3
13137,11,8,3650.41,299,456.30125,3
13138,22,6,962.39,351,160.39833333333334,2
13139,16,7,5064.94,244,723.5628571428571,3
13140,108,3,423.72,259,141.24,2
13141,85,5,2388.75,231,477.75,2
13142,19,1,307.09,1,307.09,0
13144,333,1,110.95,1,110.95,1
13145,40,4,618.52,333,154.63,2
13146,26,1,228.91,1,228.91,1
13147,10,4,712.8000000000001,90,178.20000000000002,2
13148,29,12,3707.12,336,308.9266666666667,3
13149,14,4,1676.06,275,419.015,3
13151,296,1,1257.8700000000001,1,1257.8700000000001,0
13153,6,1,486.22,1,486.22,0
13155,33,4,971.76,336,242.94,2
13157,49,4,1741.22,249,435.305,2
13158,95,4,1201.06,225,300.265,2
13159,9,4,1437.85,107,359.4625,3
13160,22,1,91.8,1,91.8,1
13161,313,1,112.75,1,112.75,1
13162,122,4,1688.29,213,422.0725,2
13165,46,2,1021.48,306,510.74,2
13166,283,1,417.2,1,417.2,0
13167,19,4,779.33,126,194.8325,2
13168,36,4,1319.19,282,329.7975,2
13169,64,2,712.88,189,356.44,2
13170,27,1,116.00999999999999,1,116.00999999999999,1
13171,22,3,468.41,278,156.13666666666668,2
13173,4,2,353.65,364,176.825,2
13174,16,3,2813.03,353,937.6766666666667,3
13176,46,1,492.84,1,492.84,0
13177,65,1,282.45,1,282.45,0
13178,26,11,5725.47,335,520.4972727272727,3
13182,45,1,121.18,1,121.18,1
13183,8,9,3957.78,327,439.75333333333333,3
13184,15,10,1700.29,276,170.029,3
13185,268,1,71.4,1,71.4,1
13186,40,3,1575.89,90,525.2966666666667,2
13187,337,1,236.02,1,236.02,1
13188,11,1,114.60000000000001,1,114.60000000000001,1
13189,19,2,260.68,97,130.34,2
13192,95,2,911.94,110,455.97,2
13193,61,1,117.88,1,117.88,1
13194,136,1,60.7,1,60.7,1
13196,11,4,1797.78,251,449.445,3
13198,10,6,3401.2400000000002,352,566.8733333333333,3
13199,4,37,9802.12,364,264.9221621621622,3
13200,19,4,870.09,108,217.5225,2
13203,10,4,869.46,233,217.365,2
13207,15,2,250.26000000000002,136,125.13000000000001,2
13208,59,5,1199.42,250,239.88400000000001,2
13209,30,8,5891.61,332,736.45125,3
13210,94,1,353.48,1,353.48,0
13211,10,3,1197.42,351,399.14000000000004,2
